,Index,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Carrier_Name
370240,1161002,2008,2,3,7,2131,2125,2230,2210,DL,1009,N650DL,119,105,77,20,6,SLC,SMF,532,8,34,0,N,0,6,0,14,0,0,Delta Airlines
702836,2298868,2008,4,3,4,2116,2015,52,2355,AA,1710,N579AA,156,160,139,57,61,DFW,IAD,1172,5,12,0,N,0,0,0,0,0,57,American Airlines
184875,609082,2008,2,3,7,1835,1615,1915,1635,WN,3953,N378SW,100,80,68,160,140,SLC,LAS,368,6,26,0,N,0,0,140,20,0,0,Southwest Airlines
553955,1734957,2008,3,19,3,1326,855,1606,1158,B6,197,N562JB,340,363,314,248,271,JFK,LAS,2248,9,17,0,N,0,248,0,0,0,0,JetBlue Airways
572992,1788394,2008,3,15,6,148,2255,905,618,DL,1576,N6705Y,257,263,241,167,173,PDX,ATL,2172,5,11,0,N,0,167,0,0,0,0,Delta Airlines
3271,5505,2008,1,4,5,1854,1720,2013,1840,WN,386,N472WN,79,80,63,93,94,SMF,LAX,373,7,9,0,N,0,0,0,47,0,46,Southwest Airlines
150718,492766,2008,1,8,2,1355,1245,1543,1440,AA,789,N462AA,168,175,147,63,70,MCO,ORD,1005,8,13,0,N,0,0,0,63,0,0,American Airlines
476251,1496765,2008,3,28,5,2213,2145,2352,2333,DL,1006,N960DL,99,108,73,19,28,ATL,PIT,526,6,20,0,N,0,13,0,0,0,6,Delta Airlines
148690,487374,2008,1,28,1,1715,1640,2150,2115,AA,550,N5CCAA,155,155,116,35,35,LAS,DFW,1055,20,19,0,N,0,0,0,0,0,35,American Airlines
577770,1800398,2008,4,6,7,1435,1345,2158,2120,WN,500,N401WN,263,275,239,38,50,LAS,BWI,2106,5,19,0,N,0,0,0,0,0,38,Southwest Airlines
810766,2706158,2008,5,30,5,2039,1925,2137,2026,DL,1131,N903DA,118,121,93,71,74,SLC,LAX,590,8,17,0,N,0,71,0,0,0,0,Delta Airlines
167699,544552,2008,1,27,7,1243,1205,1331,1255,AS,62,N784AS,48,50,35,36,38,SIT,KTN,183,5,8,0,N,0,0,0,0,0,36,Alaska Airlines
531558,1669128,2008,3,30,7,1625,1615,1911,1840,AA,526,N3DEAA,166,145,133,31,10,MIA,DCA,920,15,18,0,N,0,6,0,21,0,4,American Airlines
167121,542687,2008,1,23,3,1605,1537,1656,1605,AS,64,N762AS,51,28,12,51,28,PSG,WRG,31,6,33,0,N,0,0,0,23,0,28,Alaska Airlines
960070,3223333,2008,6,1,7,1756,1750,2227,2031,UA,291,N821UA,451,341,340,116,6,IAD,SMF,2358,4,107,0,N,0,0,6,110,0,0,United Airlines
540214,1692722,2008,3,31,1,1713,1555,1800,1645,AA,1517,N443AA,107,110,89,75,78,DFW,ABQ,569,3,15,0,N,0,0,5,0,0,70,American Airlines
